CCTV1HD,rtp://239.253.158.96:8550
钟祥综合,rtp://239.69.1.56:9976
CCTV2HD,rtp://239.69.1.102:10250
CCTV3HD,rtp://239.69.1.122:10370
CCTV4,rtp://239.253.158.155:9004
CCTV5HD,rtp://239.69.1.123:10376
CCTV6HD,rtp://239.69.1.124:10382
CCTV7HD,rtp://239.69.1.103:10256
CCTV8HD,rtp://239.69.1.125:10388
CCTV9HD,rtp://239.69.1.104:10262
CCTV10,rtp://239.253.158.158:9022
CCTV11,rtp://239.253.158.159:9028
CCTV12HD,rtp://239.69.1.106:10274
CCTV13,rtp://239.253.158.161:9040
CCTV14HD,rtp://239.69.1.107:10280
CCTV15,rtp://239.253.158.163:9052
CCTVNEWS,rtp://239.253.158.175:9124
CCTV5十HD,rtp://239.253.158.234:9484
iTV导视HD,rtp://239.69.1.65:10030
IPTV足球频道,rtp://239.69.1.116:10334
中国气象,rtp://239.253.158.94:8538
全纪实,rtp://239.253.158.38:8202
超级影院,rtp://239.253.158.52:8286
香江影院,rtp://239.253.158.72:8406
海外影院,rtp://239.253.158.131:8860
热门剧场,rtp://239.253.158.51:8280
港剧风云,rtp://239.253.158.69:8388
谍战剧场,rtp://239.253.158.129:8848
热门娱乐,rtp://239.253.158.53:8292
汽车世界,rtp://239.69.1.113:10316
天津卫视HD,rtp://239.69.1.68:10048
山东卫视HD,rtp://239.69.1.69:10054
安徽卫视HD,rtp://239.69.1.70:10060
辽宁卫视HD,rtp://239.69.1.71:10066
东方卫视HD,rtp://239.253.158.142:8926
北京卫视HD,rtp://239.253.158.141:8920
湖南卫视HD,rtp://239.253.158.139:8908
深圳卫视HD,rtp://239.253.158.137:8896
黑龙江卫视HD,rtp://239.253.158.138:8902
浙江卫视HD,rtp://239.253.158.143:8932
江苏卫视HD,rtp://239.253.158.144:8938
广东卫视HD,rtp://239.253.158.140:8914
东南卫视HD,rtp://239.69.1.108:10286
金鹰纪实HD,rtp://239.69.1.109:10292
中国教育1HD,rtp://239.69.1.110:10298
劲爆体育HD,rtp://239.253.158.114:8658
纪实HD,rtp://239.253.158.252:9592
湖北卫视HD,rtp://239.253.158.115:8664
湖北经视HD,rtp://239.69.1.41:9886
湖北综合HD,rtp://239.69.1.42:9892
湖北垄上HD,rtp://239.69.1.43:9898
湖北公共HD,rtp://239.69.1.40:9880
湖北影视,rtp://239.253.158.182:9172
湖北教育,rtp://239.253.158.180:9160
湖北生活,rtp://239.253.158.181:9166
休闲指南,rtp://239.253.158.213:9358
美嘉购物,rtp://239.253.158.183:9178
卡酷动画,rtp://239.253.158.188:9208
金鹰卡通,rtp://239.253.158.189:9214
少儿动画,rtp://239.253.158.220:9400
炫动卡通,rtp://239.253.158.14:8058
嘉佳卡通,rtp://239.253.158.136:8890
热门动画,rtp://239.253.158.74:8418
动漫秀场,rtp://239.253.158.36:8190
经典动画,rtp://239.253.158.75:8424
新科动漫,rtp://239.253.158.197:9262
广西卫视,rtp://239.253.158.23:8112
宁夏卫视,rtp://239.253.158.97:8556
河北卫视,rtp://239.253.158.185:9190
陕西卫视,rtp://239.253.158.186:9196
甘肃卫视,rtp://239.253.158.187:9202
旅游卫视,rtp://239.253.158.24:8118
重庆卫视,rtp://239.253.158.25:8124
江西卫视,rtp://239.253.158.27:8136
河南卫视,rtp://239.253.158.28:8142
四川卫视,rtp://239.253.158.90:8514
吉林卫视,rtp://239.253.158.91:8520
山西卫视,rtp://239.253.158.93:8532
云南卫视,rtp://239.253.158.30:8154
贵州卫视,rtp://239.253.158.31:8160
西藏卫视,rtp://239.253.158.35:8184
内蒙古卫视,rtp://239.253.158.41:8220
兵团卫视,rtp://239.253.158.48:8262
新疆卫视,rtp://239.253.158.47:8256
青海卫视,rtp://239.253.158.95:8544
荆门新闻,rtp://239.253.158.246:9556
荆门公共,rtp://239.253.158.247:9562
荆门教育,rtp://239.253.158.248:9568
IPTV相声小品,rtp://239.253.158.214:9364
热播剧场,rtp://239.253.158.215:9370
经典电影,rtp://239.253.158.216:9376
魅力时尚,rtp://239.253.158.217:9382
IPTV5HD,rtp://239.69.1.117:10340
IPTV3十,rtp://239.253.158.219:9394
IPTV5十,rtp://239.253.158.221:9406
IPTV6十,rtp://239.253.158.218:9388
IPTV8十,rtp://239.253.158.222:9412
都市剧场,rtp://239.253.158.33:8172
金色频道,rtp://239.253.158.32:8166
戏曲精选,rtp://239.69.1.114:10322
百变课堂,rtp://239.69.1.115:10328
欢笑剧场,rtp://239.253.158.42:8226
魅力音乐,rtp://239.253.158.45:8244
游戏风云,rtp://239.253.158.43:8232
极速汽车,rtp://239.253.158.44:8238
赛事精选-1,rtp://239.253.158.62:8346
赛事精选-2,rtp://239.253.158.61:8340
赛事精选-3,rtp://239.253.158.57:8316
高尔夫,rtp://239.253.158.82:8466
网球,rtp://239.253.158.67:8376
电竞天堂,rtp://239.253.158.65:8364
竞G场,rtp://239.253.158.64:8358
篮球,rtp://239.253.158.66:8370
现代女性,rtp://239.253.158.190:9220
武术世界,rtp://239.253.158.191:9226
环球奇观,rtp://239.253.158.192:9232
彩民在线,rtp://239.253.158.209:9334
第一剧场,rtp://239.69.1.74:10084
央视台球,rtp://239.69.1.98:10224
央视文化精品,rtp://239.69.1.80:10120
国防军事,rtp://239.69.1.79:10114
体育直播206,rtp://239.253.158.108:8622
体育直播207,rtp://239.253.158.110:8634
芒果1,rtp://239.69.1.12:9712
